County,State,Estimated_Usage_2016,County_State
Montgomery County,Missouri,98.3,Montgomery County_Missouri
Morgan County,Missouri,172.32,Morgan County_Missouri
New Madrid County,Missouri,153.21,New Madrid County_Missouri
Newton County,Missouri,499.39,Newton County_Missouri
Nodaway County,Missouri,192.5,Nodaway County_Missouri
Oregon County,Missouri,92.12,Oregon County_Missouri
Osage County,Missouri,116.6,Osage County_Missouri
Ozark County,Missouri,78.77,Ozark County_Missouri
Pemiscot County,Missouri,146.48,Pemiscot County_Missouri
Perry County,Missouri,164.73,Perry County_Missouri
Pettis County,Missouri,362.84,Pettis County_Missouri
Phelps County,Missouri,384.06,Phelps County_Missouri
Pike County,Missouri,158.69,Pike County_Missouri
Platte County,Missouri,846.23,Platte County_Missouri
Polk County,Missouri,269.38,Polk County_Missouri
Pulaski County,Missouri,449.53,Pulaski County_Missouri
Putnam County,Missouri,41.36,Putnam County_Missouri
Ralls County,Missouri,87.71,Ralls County_Missouri
Randolph County,Missouri,214.12,Randolph County_Missouri
Ray County,Missouri,194.94,Ray County_Missouri
Reynolds County,Missouri,54.5,Reynolds County_Missouri
Ripley County,Missouri,118.19,Ripley County_Missouri
St. Charles County,Missouri,3351.36,St. Charles County_Missouri
St. Clair County,Missouri,79.71,St. Clair County_Missouri
Ste. Genevieve County,Missouri,153.51,Ste. Genevieve County_Missouri
St. Francois County,Missouri,569.29,St. Francois County_Missouri
St. Louis County,Missouri,8563.11,St. Louis County_Missouri
Saline County,Missouri,198.03,Saline County_Missouri
Schuyler County,Missouri,38.62,Schuyler County_Missouri
Scotland County,Missouri,42.06,Scotland County_Missouri
Scott County,Missouri,332.57,Scott County_Missouri
Shannon County,Missouri,70.58,Shannon County_Missouri
Shelby County,Missouri,51.87,Shelby County_Missouri
Stoddard County,Missouri,253.03,Stoddard County_Missouri
Stone County,Missouri,270.11,Stone County_Missouri
Sullivan County,Missouri,54.29,Sullivan County_Missouri
Taney County,Missouri,468.33,Taney County_Missouri
Texas County,Missouri,221.37,Texas County_Missouri
Vernon County,Missouri,177.2,Vernon County_Missouri
Warren County,Missouri,290.22,Warren County_Missouri
Washington County,Missouri,213.21,Washington County_Missouri
Wayne County,Missouri,113.49,Wayne County_Missouri
Webster County,Missouri,326.82,Webster County_Missouri
Worth County,Missouri,17.29,Worth County_Missouri
Wright County,Missouri,156.67,Wright County_Missouri
St. Louis city,Missouri,2680.31,St. Louis city_Missouri
Beaverhead County,Montana,81.26,Beaverhead County_Montana
Big Horn County,Montana,115.38,Big Horn County_Montana
Blaine County,Montana,57.55,Blaine County_Montana
Broadwater County,Montana,49.64,Broadwater County_Montana
Carbon County,Montana,89.96,Carbon County_Montana
Carter County,Montana,10.08,Carter County_Montana
Cascade County,Montana,699.58,Cascade County_Montana
Chouteau County,Montana,49.58,Chouteau County_Montana
Custer County,Montana,101.52,Custer County_Montana
Daniels County,Montana,14.89,Daniels County_Montana
Dawson County,Montana,79.4,Dawson County_Montana
Deer Lodge County,Montana,77.72,Deer Lodge County_Montana
Fallon County,Montana,26.48,Fallon County_Montana
Fergus County,Montana,97.24,Fergus County_Montana
Flathead County,Montana,839,Flathead County_Montana
Gallatin County,Montana,898.66,Gallatin County_Montana
Garfield County,Montana,11.14,Garfield County_Montana
Glacier County,Montana,117.72,Glacier County_Montana
Golden Valley County,Montana,6.95,Golden Valley County_Montana
Granite County,Montana,28.22,Granite County_Montana
Hill County,Montana,141.03,Hill County_Montana
Jefferson County,Montana,101.06,Jefferson County_Montana
Judith Basin County,Montana,16.64,Judith Basin County_Montana
Lake County,Montana,254.93,Lake County_Montana
Lewis and Clark County,Montana,574.02,Lewis and Clark County_Montana
Liberty County,Montana,20.69,Liberty County_Montana
Lincoln County,Montana,165.19,Lincoln County_Montana
McCone County,Montana,14.83,McCone County_Montana
Madison County,Montana,69.27,Madison County_Montana
Meagher County,Montana,15.84,Meagher County_Montana
Mineral County,Montana,35.34,Mineral County_Montana
Missoula County,Montana,998.31,Missoula County_Montana
Musselshell County,Montana,39.91,Musselshell County_Montana
Park County,Montana,138.35,Park County_Montana
Petroleum County,Montana,4.22,Petroleum County_Montana
Phillips County,Montana,35.28,Phillips County_Montana
Pondera County,Montana,51.75,Pondera County_Montana
Powder River County,Montana,14.97,Powder River County_Montana
Powell County,Montana,58.72,Powell County_Montana
Prairie County,Montana,10,Prairie County_Montana
Ravalli County,Montana,359.54,Ravalli County_Montana
Richland County,Montana,97.9,Richland County_Montana
Roosevelt County,Montana,96.26,Roosevelt County_Montana
Rosebud County,Montana,79.33,Rosebud County_Montana
Sanders County,Montana,98.34,Sanders County_Montana
Sheridan County,Montana,30.95,Sheridan County_Montana
Silver Bow County,Montana,297.85,Silver Bow County_Montana
Stillwater County,Montana,80.5,Stillwater County_Montana
Sweet Grass County,Montana,31.01,Sweet Grass County_Montana
Teton County,Montana,51.68,Teton County_Montana
Toole County,Montana,42.49,Toole County_Montana
Treasure County,Montana,5.83,Treasure County_Montana
Valley County,Montana,64.69,Valley County_Montana
Wheatland County,Montana,18.25,Wheatland County_Montana
Wibaux County,Montana,8.93,Wibaux County_Montana
Yellowstone County,Montana,1354.82,Yellowstone County_Montana
Adams County,Nebraska,271.67,Adams County_Nebraska
Antelope County,Nebraska,54.42,Antelope County_Nebraska
Arthur County,Nebraska,4,Arthur County_Nebraska
Banner County,Nebraska,6.18,Banner County_Nebraska
Blaine County,Nebraska,4.03,Blaine County_Nebraska
Boone County,Nebraska,45.75,Boone County_Nebraska
Box Butte County,Nebraska,95.97,Box Butte County_Nebraska
Boyd County,Nebraska,16.95,Boyd County_Nebraska
Brown County,Nebraska,25.57,Brown County_Nebraska
Buffalo County,Nebraska,422.27,Buffalo County_Nebraska
Burt County,Nebraska,56.07,Burt County_Nebraska
Butler County,Nebraska,68.61,Butler County_Nebraska
Cass County,Nebraska,219.91,Cass County_Nebraska
Cedar County,Nebraska,73.76,Cedar County_Nebraska
Chase County,Nebraska,33.57,Chase County_Nebraska
Cherry County,Nebraska,49.98,Cherry County_Nebraska
Cheyenne County,Nebraska,86.18,Cheyenne County_Nebraska
Clay County,Nebraska,52.66,Clay County_Nebraska
Colfax County,Nebraska,92.2,Colfax County_Nebraska
Cuming County,Nebraska,76.84,Cuming County_Nebraska
Custer County,Nebraska,92.9,Custer County_Nebraska
Dakota County,Nebraska,174.19,Dakota County_Nebraska
Dawes County,Nebraska,76.42,Dawes County_Nebraska
Dawson County,Nebraska,203.91,Dawson County_Nebraska
Deuel County,Nebraska,15.97,Deuel County_Nebraska
Dixon County,Nebraska,49.23,Dixon County_Nebraska
Dodge County,Nebraska,314.5,Dodge County_Nebraska
Douglas County,Nebraska,4765,Douglas County_Nebraska
Dundy County,Nebraska,15.53,Dundy County_Nebraska
Fillmore County,Nebraska,48.25,Fillmore County_Nebraska
Franklin County,Nebraska,25.69,Franklin County_Nebraska
Frontier County,Nebraska,22.71,Frontier County_Nebraska
Furnas County,Nebraska,40.87,Furnas County_Nebraska
Gage County,Nebraska,185.4,Gage County_Nebraska
Garden County,Nebraska,16.36,Garden County_Nebraska
Garfield County,Nebraska,17.11,Garfield County_Nebraska
Gosper County,Nebraska,17.37,Gosper County_Nebraska
Grant County,Nebraska,5.71,Grant County_Nebraska
Greeley County,Nebraska,20.6,Greeley County_Nebraska
Hall County,Nebraska,527.48,Hall County_Nebraska
Hamilton County,Nebraska,78.57,Hamilton County_Nebraska
Harlan County,Nebraska,29.62,Harlan County_Nebraska
Hayes County,Nebraska,7.64,Hayes County_Nebraska
Hitchcock County,Nebraska,24.29,Hitchcock County_Nebraska
Holt County,Nebraska,87.77,Holt County_Nebraska
Hooker County,Nebraska,5.86,Hooker County_Nebraska
Howard County,Nebraska,54.97,Howard County_Nebraska
Jefferson County,Nebraska,61.48,Jefferson County_Nebraska
Johnson County,Nebraska,44.74,Johnson County_Nebraska
Kearney County,Nebraska,56.27,Kearney County_Nebraska
Keith County,Nebraska,69.43,Keith County_Nebraska
Keya Paha County,Nebraska,6.8,Keya Paha County_Nebraska
Kimball County,Nebraska,31.53,Kimball County_Nebraska
Knox County,Nebraska,72.79,Knox County_Nebraska
Lancaster County,Nebraska,2663.59,Lancaster County_Nebraska
Lincoln County,Nebraska,304.6,Lincoln County_Nebraska
Logan County,Nebraska,6.77,Logan County_Nebraska
Loup County,Nebraska,5.28,Loup County_Nebraska
McPherson County,Nebraska,4.32,McPherson County_Nebraska
Madison County,Nebraska,300.61,Madison County_Nebraska
Merrick County,Nebraska,67.22,Merrick County_Nebraska
Morrill County,Nebraska,41.74,Morrill County_Nebraska
Nance County,Nebraska,30.57,Nance County_Nebraska
Nemaha County,Nebraska,59.81,Nemaha County_Nebraska
Nuckolls County,Nebraska,36.54,Nuckolls County_Nebraska
Otoe County,Nebraska,136.77,Otoe County_Nebraska
Pawnee County,Nebraska,23.15,Pawnee County_Nebraska
Perkins County,Nebraska,24.86,Perkins County_Nebraska
Phelps County,Nebraska,78.82,Phelps County_Nebraska
Pierce County,Nebraska,61.28,Pierce County_Nebraska
Platte County,Nebraska,283.38,Platte County_Nebraska
Polk County,Nebraska,44.64,Polk County_Nebraska
Red Willow County,Nebraska,92.41,Red Willow County_Nebraska
Richardson County,Nebraska,68.63,Richardson County_Nebraska
Rock County,Nebraska,12.05,Rock County_Nebraska
Saline County,Nebraska,122.07,Saline County_Nebraska
Sarpy County,Nebraska,1531.57,Sarpy County_Nebraska
Saunders County,Nebraska,180.12,Saunders County_Nebraska
Scotts Bluff County,Nebraska,312.39,Scotts Bluff County_Nebraska
Seward County,Nebraska,146.8,Seward County_Nebraska
Sheridan County,Nebraska,44.88,Sheridan County_Nebraska
Sherman County,Nebraska,25.83,Sherman County_Nebraska
Sioux County,Nebraska,10.8,Sioux County_Nebraska
Stanton County,Nebraska,51.23,Stanton County_Nebraska
Thayer County,Nebraska,43.58,Thayer County_Nebraska
Thomas County,Nebraska,6.24,Thomas County_Nebraska
Thurston County,Nebraska,61.27,Thurston County_Nebraska
Valley County,Nebraska,36.04,Valley County_Nebraska
Washington County,Nebraska,173.55,Washington County_Nebraska
Wayne County,Nebraska,80.61,Wayne County_Nebraska
Webster County,Nebraska,30.61,Webster County_Nebraska
Wheeler County,Nebraska,6.9,Wheeler County_Nebraska
York County,Nebraska,117.87,York County_Nebraska
Churchill County,Nevada,204.8,Churchill County_Nevada
Clark County,Nevada,18366.01,Clark County_Nevada
Douglas County,Nevada,410.54,Douglas County_Nevada
Elko County,Nevada,447.22,Elko County_Nevada
Esmeralda County,Nevada,7.09,Esmeralda County_Nevada
Eureka County,Nevada,16.61,Eureka County_Nevada
Humboldt County,Nevada,144.08,Humboldt County_Nevada
Lander County,Nevada,48.87,Lander County_Nevada
Lincoln County,Nevada,44.22,Lincoln County_Nevada
Lyon County,Nevada,452.39,Lyon County_Nevada
Mineral County,Nevada,37.58,Mineral County_Nevada
Nye County,Nevada,371.42,Nye County_Nevada
Pershing County,Nevada,56.49,Pershing County_Nevada
Storey County,Nevada,34.25,Storey County_Nevada
Washoe County,Nevada,3862.24,Washoe County_Nevada
White Pine County,Nevada,83.41,White Pine County_Nevada
Carson City,Nevada,464.58,Carson City_Nevada
Belknap County,New Hampshire,520.81,Belknap County_New Hampshire
Carroll County,New Hampshire,407.49,Carroll County_New Hampshire
Cheshire County,New Hampshire,651.66,Cheshire County_New Hampshire
Coos County,New Hampshire,273.73,Coos County_New Hampshire
Grafton County,New Hampshire,772.05,Grafton County_New Hampshire
Hillsborough County,New Hampshire,3527.69,Hillsborough County_New Hampshire
Merrimack County,New Hampshire,1279.72,Merrimack County_New Hampshire
Rockingham County,New Hampshire,2615.01,Rockingham County_New Hampshire
Strafford County,New Hampshire,1099.75,Strafford County_New Hampshire
Sullivan County,New Hampshire,369.73,Sullivan County_New Hampshire
Atlantic County,New Jersey,2297.85,Atlantic County_New Jersey
Bergen County,New Jersey,7970.69,Bergen County_New Jersey
Burlington County,New Jersey,3827.63,Burlington County_New Jersey
Camden County,New Jersey,4350.73,Camden County_New Jersey
Cape May County,New Jersey,803.77,Cape May County_New Jersey
Cumberland County,New Jersey,1315.79,Cumberland County_New Jersey
Essex County,New Jersey,6800.7,Essex County_New Jersey
Gloucester County,New Jersey,2493.77,Gloucester County_New Jersey
Hudson County,New Jersey,5739.44,Hudson County_New Jersey
Hunterdon County,New Jersey,1069.66,Hunterdon County_New Jersey
Mercer County,New Jersey,3157.7,Mercer County_New Jersey
Middlesex County,New Jersey,7086.33,Middlesex County_New Jersey
Monmouth County,New Jersey,5347.83,Monmouth County_New Jersey
Morris County,New Jersey,4238.94,Morris County_New Jersey
Ocean County,New Jersey,5070.73,Ocean County_New Jersey
Passaic County,New Jersey,4323.09,Passaic County_New Jersey
Salem County,New Jersey,542.17,Salem County_New Jersey
Somerset County,New Jersey,2831.38,Somerset County_New Jersey
Sussex County,New Jersey,1217.78,Sussex County_New Jersey
Union County,New Jersey,4747.71,Union County_New Jersey
Warren County,New Jersey,910.15,Warren County_New Jersey
Bernalillo County,New Mexico,5818.69,Bernalillo County_New Mexico
Catron County,New Mexico,30.22,Catron County_New Mexico
Chaves County,New Mexico,563.68,Chaves County_New Mexico
Cibola County,New Mexico,232.03,Cibola County_New Mexico
Colfax County,New Mexico,105.36,Colfax County_New Mexico
Curry County,New Mexico,431.6,Curry County_New Mexico
De Baca County,New Mexico,15.73,De Baca County_New Mexico
Dona Ana County,New Mexico,1842.55,Dona Ana County_New Mexico
Eddy County,New Mexico,494.79,Eddy County_New Mexico
Grant County,New Mexico,240.61,Grant County_New Mexico
Guadalupe County,New Mexico,37.48,Guadalupe County_New Mexico
Harding County,New Mexico,5.89,Harding County_New Mexico
Hidalgo County,New Mexico,37.12,Hidalgo County_New Mexico
Lea County,New Mexico,602.78,Lea County_New Mexico
Lincoln County,New Mexico,166.44,Lincoln County_New Mexico
Los Alamos County,New Mexico,156.49,Los Alamos County_New Mexico
Luna County,New Mexico,209.17,Luna County_New Mexico
McKinley County,New Mexico,627.25,McKinley County_New Mexico
Mora County,New Mexico,38.94,Mora County_New Mexico
Otero County,New Mexico,563.23,Otero County_New Mexico
Quay County,New Mexico,71.99,Quay County_New Mexico
Rio Arriba County,New Mexico,336.62,Rio Arriba County_New Mexico
Roosevelt County,New Mexico,164.25,Roosevelt County_New Mexico
Sandoval County,New Mexico,1205.25,Sandoval County_New Mexico
San Juan County,New Mexico,1098.02,San Juan County_New Mexico
San Miguel County,New Mexico,240.74,San Miguel County_New Mexico
Santa Fe County,New Mexico,1277.47,Santa Fe County_New Mexico
Sierra County,New Mexico,95.35,Sierra County_New Mexico
Socorro County,New Mexico,145.58,Socorro County_New Mexico
Taos County,New Mexico,282.8,Taos County_New Mexico
Torrance County,New Mexico,133.12,Torrance County_New Mexico
Union County,New Mexico,35.64,Union County_New Mexico
Valencia County,New Mexico,649.36,Valencia County_New Mexico
Albany County,New York,2639.47,Albany County_New York
Allegany County,New York,403.6,Allegany County_New York
Bronx County,New York,12400.21,Bronx County_New York
Broome County,New York,1667.49,Broome County_New York
Cattaraugus County,New York,666.74,Cattaraugus County_New York
Cayuga County,New York,666.38,Cayuga County_New York
Chautauqua County,New York,1109.83,Chautauqua County_New York
Chemung County,New York,735.1,Chemung County_New York
Chenango County,New York,414.56,Chenango County_New York
Clinton County,New York,690.9,Clinton County_New York
Columbia County,New York,522.37,Columbia County_New York
Cortland County,New York,411.15,Cortland County_New York
Delaware County,New York,389.93,Delaware County_New York
Dutchess County,New York,2514.38,Dutchess County_New York
Erie County,New York,7880.6,Erie County_New York
Essex County,New York,323.25,Essex County_New York
Franklin County,New York,438.24,Franklin County_New York
Fulton County,New York,459.93,Fulton County_New York
Genesee County,New York,497.83,Genesee County_New York
Greene County,New York,407.77,Greene County_New York
Hamilton County,New York,39.1,Hamilton County_New York
Herkimer County,New York,535.79,Herkimer County_New York
Jefferson County,New York,969.67,Jefferson County_New York
Kings County,New York,22404.51,Kings County_New York
Lewis County,New York,228.68,Lewis County_New York
Livingston County,New York,548.63,Livingston County_New York
Madison County,New York,611.68,Madison County_New York
Monroe County,New York,6379.54,Monroe County_New York
Montgomery County,New York,422.19,Montgomery County_New York
Nassau County,New York,11638.53,Nassau County_New York
New York County,New York,14039.21,New York County_New York
Niagara County,New York,1814.97,Niagara County_New York
Oneida County,New York,1976.4,Oneida County_New York
Onondaga County,New York,3981.43,Onondaga County_New York
Ontario County,New York,937.52,Ontario County_New York
Orange County,New York,3243.66,Orange County_New York
Orleans County,New York,353.46,Orleans County_New York
Oswego County,New York,1020.01,Oswego County_New York
Otsego County,New York,515.82,Otsego County_New York
Putnam County,New York,847.81,Putnam County_New York
Queens County,New York,19811.62,Queens County_New York
Rensselaer County,New York,1367.09,Rensselaer County_New York
Richmond County,New York,4068.78,Richmond County_New York
Rockland County,New York,2776.85,Rockland County_New York
St. Lawrence County,New York,938.75,St. Lawrence County_New York
Saratoga County,New York,1948.08,Saratoga County_New York
Schenectady County,New York,1325.39,Schenectady County_New York
Schoharie County,New York,268.62,Schoharie County_New York
Schuyler County,New York,153.99,Schuyler County_New York
Seneca County,New York,297.99,Seneca County_New York
Steuben County,New York,831.36,Steuben County_New York
Suffolk County,New York,12756.86,Suffolk County_New York
Sullivan County,New York,643.31,Sullivan County_New York
Tioga County,New York,418.9,Tioga County_New York
Tompkins County,New York,883.21,Tompkins County_New York
Ulster County,New York,1536.52,Ulster County_New York
Warren County,New York,552.8,Warren County_New York
Washington County,New York,529.96,Washington County_New York
Wayne County,New York,778.67,Wayne County_New York
Westchester County,New York,8327.42,Westchester County_New York
Wyoming County,New York,346.69,Wyoming County_New York
Yates County,New York,214.7,Yates County_New York
Alamance County,North Carolina,1376.17,Alamance County_North Carolina
Alexander County,North Carolina,318.68,Alexander County_North Carolina
Alleghany County,North Carolina,93.75,Alleghany County_North Carolina
Anson County,North Carolina,216.06,Anson County_North Carolina
Ashe County,North Carolina,228.32,Ashe County_North Carolina
Avery County,North Carolina,149.49,Avery County_North Carolina
Beaufort County,North Carolina,406.44,Beaufort County_North Carolina
Bertie County,North Carolina,166.73,Bertie County_North Carolina
Bladen County,North Carolina,289.18,Bladen County_North Carolina
Brunswick County,North Carolina,1083.68,Brunswick County_North Carolina
Buncombe County,North Carolina,2187.81,Buncombe County_North Carolina
Burke County,North Carolina,767.38,Burke County_North Carolina
Cabarrus County,North Carolina,1728.62,Cabarrus County_North Carolina
Caldwell County,North Carolina,701.57,Caldwell County_North Carolina
Camden County,North Carolina,89.25,Camden County_North Carolina
Carteret County,North Carolina,590.4,Carteret County_North Carolina
Caswell County,North Carolina,195.32,Caswell County_North Carolina
Catawba County,North Carolina,1342.53,Catawba County_North Carolina
Chatham County,North Carolina,597.57,Chatham County_North Carolina
Cherokee County,North Carolina,238.57,Cherokee County_North Carolina
Chowan County,North Carolina,121.85,Chowan County_North Carolina
Clay County,North Carolina,92.18,Clay County_North Carolina
Cleveland County,North Carolina,832.41,Cleveland County_North Carolina
Columbus County,North Carolina,482.88,Columbus County_North Carolina
Craven County,North Carolina,881.69,Craven County_North Carolina
Cumberland County,North Carolina,2859.73,Cumberland County_North Carolina
Currituck County,North Carolina,220.11,Currituck County_North Carolina
Dare County,North Carolina,306.87,Dare County_North Carolina
Davidson County,North Carolina,1410.51,Davidson County_North Carolina
Davie County,North Carolina,359.79,Davie County_North Carolina
Duplin County,North Carolina,508.45,Duplin County_North Carolina
Durham County,North Carolina,2640.13,Durham County_North Carolina
Edgecombe County,North Carolina,457.12,Edgecombe County_North Carolina
Forsyth County,North Carolina,3184.55,Forsyth County_North Carolina
Franklin County,North Carolina,554.24,Franklin County_North Carolina
Gaston County,North Carolina,1859.44,Gaston County_North Carolina
Gates County,North Carolina,99.25,Gates County_North Carolina
Graham County,North Carolina,73.32,Graham County_North Carolina
Granville County,North Carolina,503.64,Granville County_North Carolina
Greene County,North Carolina,180.87,Greene County_North Carolina
Guilford County,North Carolina,4505,Guilford County_North Carolina
Halifax County,North Carolina,444.54,Halifax County_North Carolina
Harnett County,North Carolina,1120.82,Harnett County_North Carolina
Haywood County,North Carolina,518.14,Haywood County_North Carolina
Henderson County,North Carolina,975.75,Henderson County_North Carolina
Hertford County,North Carolina,207.77,Hertford County_North Carolina
Hoke County,North Carolina,454.51,Hoke County_North Carolina
Hyde County,North Carolina,46.68,Hyde County_North Carolina
Iredell County,North Carolina,1480.51,Iredell County_North Carolina
Jackson County,North Carolina,365.28,Jackson County_North Carolina
Johnston County,North Carolina,1637.66,Johnston County_North Carolina
Jones County,North Carolina,82.39,Jones County_North Carolina
Lee County,North Carolina,512.55,Lee County_North Carolina
Lenoir County,North Carolina,491.32,Lenoir County_North Carolina
Lincoln County,North Carolina,696,Lincoln County_North Carolina
McDowell County,North Carolina,385.09,McDowell County_North Carolina
Macon County,North Carolina,293.79,Macon County_North Carolina
Madison County,North Carolina,183.26,Madison County_North Carolina
Martin County,North Carolina,198.39,Martin County_North Carolina
Mecklenburg County,North Carolina,9066.24,Mecklenburg County_North Carolina
Mitchell County,North Carolina,128.62,Mitchell County_North Carolina
Montgomery County,North Carolina,234.45,Montgomery County_North Carolina
Moore County,North Carolina,818.47,Moore County_North Carolina
Nash County,North Carolina,806.25,Nash County_North Carolina
New Hanover County,North Carolina,1928.7,New Hanover County_North Carolina
Northampton County,North Carolina,172.83,Northampton County_North Carolina
Onslow County,North Carolina,1648.95,Onslow County_North Carolina
Orange County,North Carolina,1226.87,Orange County_North Carolina
Pamlico County,North Carolina,109.56,Pamlico County_North Carolina
Pasquotank County,North Carolina,338.32,Pasquotank County_North Carolina
Pender County,North Carolina,504.57,Pender County_North Carolina
Perquimans County,North Carolina,115.04,Perquimans County_North Carolina
Person County,North Carolina,337.17,Person County_North Carolina
Pitt County,North Carolina,1520.66,Pitt County_North Carolina
Polk County,North Carolina,174.93,Polk County_North Carolina
Randolph County,North Carolina,1228.2,Randolph County_North Carolina
Richmond County,North Carolina,386.28,Richmond County_North Carolina
Robeson County,North Carolina,1144.44,Robeson County_North Carolina
Rockingham County,North Carolina,783.75,Rockingham County_North Carolina
Rowan County,North Carolina,1196.87,Rowan County_North Carolina
Rutherford County,North Carolina,568.95,Rutherford County_North Carolina
Sampson County,North Carolina,543.31,Sampson County_North Carolina
Scotland County,North Carolina,303.14,Scotland County_North Carolina
Stanly County,North Carolina,521.6,Stanly County_North Carolina
Stokes County,North Carolina,393.71,Stokes County_North Carolina
Surry County,North Carolina,617.46,Surry County_North Carolina
Swain County,North Carolina,121.78,Swain County_North Carolina
Transylvania County,North Carolina,286.63,Transylvania County_North Carolina
Tyrrell County,North Carolina,34.53,Tyrrell County_North Carolina
Union County,North Carolina,1942.38,Union County_North Carolina
Vance County,North Carolina,381.81,Vance County_North Carolina
Wake County,North Carolina,8995.17,Wake County_North Carolina
Warren County,North Carolina,170.67,Warren County_North Carolina
Washington County,North Carolina,104.01,Washington County_North Carolina
Watauga County,North Carolina,464.14,Watauga County_North Carolina
Wayne County,North Carolina,1067.77,Wayne County_North Carolina
Wilkes County,North Carolina,588.2,Wilkes County_North Carolina
Wilson County,North Carolina,698.16,Wilson County_North Carolina
Yadkin County,North Carolina,323.15,Yadkin County_North Carolina
Yancey County,North Carolina,151.16,Yancey County_North Carolina
Adams County,North Dakota,20.11,Adams County_North Dakota
Barnes County,North Dakota,93.49,Barnes County_North Dakota
Benson County,North Dakota,58.64,Benson County_North Dakota
Billings County,North Dakota,8.12,Billings County_North Dakota
Bottineau County,North Dakota,56.43,Bottineau County_North Dakota
Bowman County,North Dakota,27.65,Bowman County_North Dakota
Burke County,North Dakota,19.1,Burke County_North Dakota
Burleigh County,North Dakota,811.38,Burleigh County_North Dakota
Cass County,North Dakota,1495.25,Cass County_North Dakota
Cavalier County,North Dakota,32.81,Cavalier County_North Dakota
Dickey County,North Dakota,42.63,Dickey County_North Dakota
Divide County,North Dakota,20.47,Divide County_North Dakota
Dunn County,North Dakota,37.51,Dunn County_North Dakota
Eddy County,North Dakota,19.64,Eddy County_North Dakota
Emmons County,North Dakota,28.66,Emmons County_North Dakota
Foster County,North Dakota,28.42,Foster County_North Dakota
Golden Valley County,North Dakota,15.93,Golden Valley County_North Dakota
Grand Forks County,North Dakota,605.02,Grand Forks County_North Dakota
Grant County,North Dakota,20.43,Grant County_North Dakota
Griggs County,North Dakota,19.37,Griggs County_North Dakota
Hettinger County,North Dakota,22.27,Hettinger County_North Dakota
Kidder County,North Dakota,21.24,Kidder County_North Dakota
LaMoure County,North Dakota,35.26,LaMoure County_North Dakota
Logan County,North Dakota,16.58,Logan County_North Dakota
McHenry County,North Dakota,51.21,McHenry County_North Dakota
McIntosh County,North Dakota,22.34,McIntosh County_North Dakota
McKenzie County,North Dakota,107.82,McKenzie County_North Dakota
McLean County,North Dakota,82.72,McLean County_North Dakota
Mercer County,North Dakota,73.95,Mercer County_North Dakota
Morton County,North Dakota,263.47,Morton County_North Dakota
Mountrail County,North Dakota,87.69,Mountrail County_North Dakota
Nelson County,North Dakota,24.72,Nelson County_North Dakota
Oliver County,North Dakota,16.27,Oliver County_North Dakota
Pembina County,North Dakota,60.49,Pembina County_North Dakota
Pierce County,North Dakota,36.18,Pierce County_North Dakota
Ramsey County,North Dakota,98.81,Ramsey County_North Dakota
Ransom County,North Dakota,46.13,Ransom County_North Dakota
Renville County,North Dakota,21.6,Renville County_North Dakota
Richland County,North Dakota,139.77,Richland County_North Dakota
Rolette County,North Dakota,126.2,Rolette County_North Dakota
Sargent County,North Dakota,33.36,Sargent County_North Dakota
Sheridan County,North Dakota,11.51,Sheridan County_North Dakota
Sioux County,North Dakota,38.2,Sioux County_North Dakota
Slope County,North Dakota,6.68,Slope County_North Dakota
Stark County,North Dakota,264.96,Stark County_North Dakota
Steele County,North Dakota,16.41,Steele County_North Dakota
Stutsman County,North Dakota,180.84,Stutsman County_North Dakota
Towner County,North Dakota,19.35,Towner County_North Dakota
Traill County,North Dakota,68.69,Traill County_North Dakota
Walsh County,North Dakota,92.69,Walsh County_North Dakota
Ward County,North Dakota,595.94,Ward County_North Dakota
Wells County,North Dakota,34.84,Wells County_North Dakota
Williams County,North Dakota,293.15,Williams County_North Dakota
Adams County,Ohio,238.77,Adams County_Ohio
Allen County,Ohio,888.56,Allen County_Ohio
Ashland County,Ohio,459.08,Ashland County_Ohio
Ashtabula County,Ohio,841.77,Ashtabula County_Ohio
Athens County,Ohio,570.32,Athens County_Ohio
Auglaize County,Ohio,392.97,Auglaize County_Ohio
Belmont County,Ohio,588.45,Belmont County_Ohio
Brown County,Ohio,374.41,Brown County_Ohio
Butler County,Ohio,3247.06,Butler County_Ohio
Carroll County,Ohio,236.98,Carroll County_Ohio
Champaign County,Ohio,332.21,Champaign County_Ohio
Clark County,Ohio,1155.74,Clark County_Ohio
Clermont County,Ohio,1742.21,Clermont County_Ohio
Clinton County,Ohio,359.1,Clinton County_Ohio
Columbiana County,Ohio,891.04,Columbiana County_Ohio
Coshocton County,Ohio,314.17,Coshocton County_Ohio
Crawford County,Ohio,361.13,Crawford County_Ohio
Cuyahoga County,Ohio,10763.52,Cuyahoga County_Ohio
Darke County,Ohio,442.85,Darke County_Ohio
Defiance County,Ohio,327.38,Defiance County_Ohio
Delaware County,Ohio,1689.61,Delaware County_Ohio
Erie County,Ohio,643.7,Erie County_Ohio
Fairfield County,Ohio,1309.8,Fairfield County_Ohio
Fayette County,Ohio,245.89,Fayette County_Ohio
Franklin County,Ohio,10935.97,Franklin County_Ohio
Fulton County,Ohio,362.87,Fulton County_Ohio
Gallia County,Ohio,258.77,Gallia County_Ohio
Geauga County,Ohio,805.68,Geauga County_Ohio
Greene County,Ohio,1418.41,Greene County_Ohio
Guernsey County,Ohio,336.35,Guernsey County_Ohio
